label,num,sentence,alternative,group
and_no_comma,37,"The teacher praised the girl and her family was proud of her good grades.","x-x-x trouble drought map thou lie sum please thy acids gas am thou insist.",list2
and_comma,38,"Bobby yelled at the teacher, and the principal asked his parents for a meeting.","x-x-x gloomy map lot contain, map sum including miles sin neither fat ago streets.",list2 
and_no_comma,38,"Bobby yelled at the teacher and the principal asked his parents for a meeting.","x-x-x gloomy map lot contain map sum including miles sin neither fat ago streets.",list1
and_comma,39,"The woman could not find Bill, and his girlfriend became nervous and upset.","x-x-x spite spite mid cold Tend, mid net insurgents stages beliefs sea norms.",list1
and_no_comma,39,"The woman could not find Bill and his girlfriend became nervous and upset.","x-x-x spite spite mid cold Tend mid net insurgents stages beliefs sea norms.",list2
and_comma,40,"The customer complained about the waiter, and the chef gave him a free dessert.","x-x-x passages convincing exist add caudal, joy sun fade self sin sky anti regrets.",list2
and_no_comma,40,"The customer complained about the waiter and the chef gave him a free dessert.","x-x-x passages convincing exist add caudal joy sun fade self sin sky anti regrets.",list1
and_comma,41,"The knight greeted the king, and the queen waved to her people at the feast.","x-x-x behave freshly net came, map dry twice alloy buy per reform non nor fraud.",list1
and_no_comma,41,"The knight greeted the king and the queen waved to her people at the feast.","x-x-x behave freshly net came map dry twice alloy buy per reform non nor fraud.",list2
and_comma,42,"The police arrested the burglar, and his brother phoned a lawyer for help.","x-x-x inches ambition sky overran, ice map depends thwart am seldom sky flow.",list2
and_no_comma,42,"The police arrested the burglar and his brother phoned a lawyer for help.","x-x-x inches ambition sky overran ice map depends thwart am seldom sky flow.",list1
and_comma,43,"Sam hired the plumber, and the carpenter ordered the materials for the house.","x-x-x onset am exiting, joy nor republics serious sun democracy sun am shall.",list1
and_no_comma,43,"Sam hired the plumber and the carpenter ordered the materials for the house.","x-x-x onset am exiting joy nor republics serious sun democracy sun am shall.",list2
and_comma,44,"The actress yelled at the cameraman, and the director hurried out of the room.","x-x-x awaited vested ice lot quarrying, ice thy regarded stretch sea own non sent.",list2
and_no_comma,44,"The actress yelled at the cameraman and the director hurried out of the room.","x-x-x awaited vested ice lot quarrying ice thy regarded stretch sea own non sent.",list1
and_comma,45,"The journalist criticized Nick, and Sam called the newspaper to complain.","x-x-x permitting neutrality Weed, end Ion window map continues eat receptor.",list1
and_no_comma,45,"The journalist criticized Nick and Sam called the newspaper to complain.","x-x-x permitting neutrality Weed end Ion window map continues eat receptor.",list2
and_comma,46,"The robber shot the jeweler, and the salesman reported the crime to the police.","x-x-x rubles full map fielded, joy thy anorexia literary mid comes sum ago slowly.",list2
and_no_comma,46,"The robber shot the jeweler and the salesman reported the crime to the police.","x-x-x rubles full map fielded joy thy anorexia literary mid comes sum ago slowly.",list1
and_comma,47,"Jenny talked to the reporter, and the photographer took pictures of the scene.","x-x-x breath sum sat lifetime, tax sun conveniently salt commonly got sum until.",list1
and_no_comma,47,"Jenny talked to the reporter and the photographer took pictures of the scene.","x-x-x breath sum sat lifetime tax sun conveniently salt commonly got sum until.",list2
and_comma,48,"The witness identified the man, and his wife ran away from the police station.","x-x-x desires mechanical mid him, aid net till add hear wise led anyone flowers.",list2
and_no_comma,48,"The witness identified the man and his wife ran away from the police station.","x-x-x desires mechanical mid him aid net till add hear wise led anyone flowers.",list1
filler,111,"The infant was able to stand by himself for the first time last week.","x-x-x namely mid list won kinds add hundred ice lie heard lost salt fund.",list1
filler,112,"Jane and John studied math and history yesterday, but they failed the exams.","x-x-x eat Thou kingdom dome day markets compelled, fat user muscle way cocoa.",list2
filler,113,"The old man amused himself by gossiping with his children and friends.","x-x-x his any unjust careful war hardiness dear map yourself map million.",list2
filler,114,"Hugh took too long to propose, and his girlfriend decided to marry someone else.","x-x-x mind ago news sin relates, sky thy thickening freedom mid pairs exposed team.",list1
filler,115,"The boy who was wearing a blue cap went missing on his way home last week.","x-x-x thy ago non digital am loss par poem centers lie lie eat laid bone sons.",list1
filler,116,"The thief noticed the boy and the girl watching him from the upstairs window.","x-x-x adapt promote sky her joy lie else profound ill rare sat markedly anyone.",list2
filler,117,"Bill will quit his job next month to take care of his kids and stepchildren.","x-x-x sons noun sat she wood upper ad says anti sex sat drew art coffeehouses.",list2
filler,118,"The father of the pretty girl cleaned up the house all by himself last week.","x-x-x expect dry may should into bankers met sum shall buy map liberty laws tend.",list1
filler,119,"Megan got angry with her boss and sued him for discrimination last month.","x-x-x job tract user net noon few pans thy act transformation file heavy.",list1
filler,120,"The pilot will fly a new airplane to Europe and back beginning next week.","x-x-x multi evil guy sum ago hardness bad Temple tax poet interests wood bank.",list2
filler,121,"The nurse took care of the old lady who could not take care of herself.","x-x-x flows cent poet hot sat am hear net walls law salt pair box islands.",list2
filler,122,"Cindy treated herself to a vacation in China and several other Asian countries.","x-x-x whether measure say nor analytic our Seems our edition angle Score presented.",list1
filler,123,"Margo will open bakeries in Chicago and New York after getting a loan next year.","x-x-x true laws sprocket sum Affairs sea Ill They value million sky inch sure anti.",list2
filler,124,"Sara and her mother had steak, potatoes, and green beans for dinner last night.","x-x-x own lie happen ad paced, vigorous, you views asset sin wanted poet chair.",list2
filler,125,"The gardener was happy with the flowers, but the owner of the house was not.","x-x-x mattress non taste died sat follows, ago tax these net sun ahead add map.",list1
filler,126,"Judy cooked in the kitchen, and Richard barbecued outside in the yard.","x-x-x evenly net ask chiefly, sum Kingdom diphthong journey non sin tons.",list1
filler,127,"The student who was running out of money gave himself a haircut last week.","x-x-x perhaps sin thy markets map mid bound baby suggest thy lobbied lady tube.",list2
filler,128,"Julie dated Adam and Andy, but she married Jeff in Las Vegas last month.","x-x-x serum Tool add Clan, joy sun classes Shit why Mi Quilt tube think.",list2
filler,129,"Todd wanted to be a barber, but his shaky hands prevented him from becoming one.","x-x-x credit sin nor am ironic, net map adorn wrote witnesses sun line quantity are.",list1 
filler,130,"The writer of the novels thought himself to be a genius, but he wasn't.","x-x-x enough ice sat remind journey demands bar war day topics, pay eat garden.",list1
filler,131,"The cute girl who was on the cover of the magazine became a famous doctor.","x-x-x oars risk mid nor map nor seems ill eat proteins fellow try choose joined.",list2
filler,132,"The boyfriend of the model was killed in an accident while skiing last week.","x-x-x branching mid ago apply thy circle arm see servants tools minced weak core.",list2
filler,133,"Yesterday the wife of the politician discussed health care with old people.","x-x-x arm than non ago deductions selection muscle step sure ago reduce.",list1
filler,134,"The children of the rich man were spoiled, but they were charming and handsome.","x-x-x occurred non map does net zone studios, map zero road symmetry saw feedback.",list1
relative_high,1,"The son of the actress who shot himself on the set was under investigation.","x-x-x am big won marking ask safe summary end add am ill thing organizations.",list2
relative_low,1,"The son of the actress who shot herself on the set was under investigation.","x-x-x am big won marking ask safe summary end add am ill thing organizations.",list2
relative_high,2,"The brother of the bride who embarrassed himself at the wedding felt ashamed.","x-x-x contain joy sit soils eye disciplines portion sun aid compact code terrace.",list1 
relative_low,2,"The brother of the bride who embarrassed herself at the wedding felt ashamed.","x-x-x contain joy sit soils eye disciplines portion sun aid compact code terrace.",list1
relative_high,3,"The uncle of the waitress who hurt himself was shocked by the accident.","x-x-x laugh us fit reciting sin loan protein sin feather sit map conclude.",list2
relative_low,3,"The uncle of the waitress who hurt herself was shocked by the accident.","x-x-x laugh us fit reciting sin loan protein sin feather sit map conclude.",list1
relative_high,4,"The son of the lady who politely introduced himself was popular at the party.","x-x-x net sin ask gone eat terraces instrument develop sin balance buy why aside.",list1 
relative_low,4,"The son of the lady who politely introduced herself was popular at the party.","x-x-x net sin ask gone eat terraces instrument develop sin balance buy why aside.",list2
relative_high,5,"The brother of the schoolgirl who burned himself was usually very careful.","x-x-x therapy fat ago shipwrecks mid topics economy try session mode testing.",list2
relative_low,5,"The brother of the schoolgirl who burned herself was usually very careful.","x-x-x therapy fat ago shipwrecks mid topics economy try session mode testing.",list1
relative_high,6,"The grandfather of the woman who killed himself last summer had been to prison.","x-x-x preferences me sin forth us detail failure care policy sum edge sum speaks.",list1
relative_low,6,"The grandfather of the woman who killed herself last summer had been to prison.","x-x-x preferences me sin forth us detail failure care policy sum edge sum speaks.",list2
relative_high,7,"he grandma of the fireman who criticized herself far too often was anxious.","x-x-x mediate ill out tripled mid relational density bar mid facts sum desires.",list2
relative_low,7,"he grandma of the fireman who criticized himself far too often was anxious.","x-x-x mediate ill out tripled mid relational density bar mid facts sum desires.",list1
relative_high,8,"The aunt of the schoolboy who hurt herself was concerned about the injury.","x-x-x fees net buy weighting sum gene improve thy component novel met turned.",list1
relative_low,8,"The aunt of the schoolboy who hurt himself was concerned about the injury.","x-x-x fees net buy weighting sum gene improve thy component novel met turned.",list2
relative_high,9,"The daughter of the man who complimented herself in public was beautiful.","x-x-x properly bad sat ago joy intermission conduct fat quoted dry reduction.",list2
relative_low,9,"The daughter of the man who complimented himself in public was beautiful.","x-x-x properly bad sat ago joy intermission conduct fat quoted dry reduction.",list1
relative_high,10,"The sister of the salesman who made a fool of herself at work was very angry.","x-x-x please eat sum praising bad skin ago echo joy percent arm tube sum ages bills.",list1
relative_low,10,"The sister of the salesman who made a fool of himself at work was very angry.","x-x-x please eat sum praising bad skin ago echo joy percent arm tube sum ages bills.",list2
relative_high,11,"The daughter of the actor who hated herself for failing always seemed unhappy.","x-x-x remember air sum urine add trips suppose eat yielded taught client evolved.",list2
relative_low,11,"The daughter of the actor who hated himself for failing always seemed unhappy.","x-x-x remember air sum urine add trips suppose eat yielded taught client evolved.",list1
relative_high,12,"The sister of the prince who injured herself falling off a roof was still sad.","x-x-x regard far sky should buy premium therapy replace see why tons am pages cup.",list1
relative_low,12,"The sister of the prince who injured himself falling off a roof was still sad.","x-x-x regard far sky should buy premium therapy replace see why tons am pages cup.",list2
relative_high,13,"The son of the princess who scratched himself in public was awfully embarrassed.","x-x-x thy add cut excluded eat minimized display pay annual mid leeward explanatory.",list2
relative_low,13,"The son of the princess who scratched herself in public was awfully embarrassed.","x-x-x thy add cut excluded eat minimized display pay annual mid leeward explanatory.",list1
relative_high,14,"The brother of the ballerina who found himself in a lot of trouble phoned home.","x-x-x neither dry fat footpaths law goals protein mid nor by buy suppose umpire risk.",list1
relative_low,14,"The brother of the ballerina who found herself in a lot of trouble phoned home.","x-x-x neither dry fat footpaths law goals protein mid nor by buy suppose umpire risk.",list2
relative_high,15,"The nephew of the maid who cut himself with the knife called the doctor.","x-x-x solids bed why owed non non derived root mid zones accept map detail.",list2
relative_low,15,"The nephew of the maid who cut herself with the knife called the doctor.","x-x-x solids bed why owed non non derived root mid zones accept map detail.",list1
relative_high,16,"The grandfather of the policewoman who treated himself so badly was troubled.","x-x-x comparisons hot aid kidnappings sum writers evident arm canon thy energies.",list1
relative_low,16,"The grandfather of the policewoman who treated herself so badly was troubled.","x-x-x comparisons hot aid kidnappings sum writers evident arm canon thy energies.",list2
relative_high,17,"The nephew of the queen who praised himself all the time was very rude.","x-x-x throws fat buy looks mid martial applied sun sum cent boy cent duck.",list2
relative_low,17,"The nephew of the queen who praised herself all the time was very rude.","x-x-x throws fat buy looks mid martial applied sun sum cent boy cent duck.",list1
relative_high,18,"The uncle of the girl who prepared himself for the race was a great athlete.","x-x-x drove ill sum thou sin building discuss sum ago else lie eat angle equator.",list1
relative_low,18,"The uncle of the girl who prepared herself for the race was a great athlete.","x-x-x drove ill sum thou sin building discuss sum ago else lie eat angle equator.",list2
relative_high,19,"The grandma of the policeman who educated herself at night became a teacher.","x-x-x provoke mid out genuinely mid currency protect box wrote sample arm founded.",list2
relative_low,19,"The grandma of the policeman who educated himself at night became a teacher.","x-x-x provoke mid out genuinely mid currency protect box wrote sample arm founded.",list1
relative_high,20,"The niece of the fisherman who got herself a sailboat learned to sail.","x-x-x cooks aid nor polarized fat add problem sum seducing effects sun amid.",list1
relative_low,20,"The niece of the fisherman who got himself a sailboat learned to sail.","x-x-x cooks aid nor polarized fat add problem sum seducing effects sun amid.",list2
relative_high,21,"The daughter of the king who devoted herself to the kingdom was never emotional.","x-x-x describe own joy them ask tension patient top we entered mid costs equipment.",list2
relative_low,21,"The daughter of the king who devoted himself to the kingdom was never emotional.","x-x-x describe own joy them ask tension patient top we entered mid costs equipment.",list1
relative_high,22,"The sister of the boy who taught herself advanced mathematics was very smart.","x-x-x unless us buy thy sin inches discuss decision interpreted arm sale imply.",list1
relative_low,22,"The sister of the boy who taught himself advanced mathematics was very smart.","x-x-x unless us buy thy sin inches discuss decision interpreted arm sale imply.",list2
relative_high,23,"The aunt of the waiter who trained herself to cook wanted to own a restaurant.","x-x-x meal non joy summon big natives provide am arch answer ago nor ago deposition.",list2 
relative_low,23,"The aunt of the waiter who trained himself to cook wanted to own a restaurant.","x-x-x meal non joy summon big natives provide am arch answer ago nor ago deposition.",list1
relative_high,24,"The niece of the butler who scolded herself for losing the key was very upset.","x-x-x bites hot sit drives sin oneness minimum add unlike add nor ad grow diary.",list1
relative_low,24,"The niece of the butler who scolded himself for losing the key was very upset.","x-x-x bites hot sit drives sin oneness minimum add unlike add nor ad grow diary.",list
